source,record_id,carrier_id,family,carrier_status,raw_local_permutations_expected,raw_local_permutations_checked,canonicalizations_completed,theoretical_configuration_classes,theoretical_class_multiplicities,canonical_classes_observed,representation_invariance_passed,formal_class_separation_passed,global_symmetry_quotient,passed,seconds,issues
rota,RotA-0222,RotA-0222:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,1.1590880599997035,
rota,RotA-0223,RotA-0223:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.14518020000014076,
rota,RotA-0223,RotA-0223:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.26204715499989106,
rota,RotA-0223,RotA-0223:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.15890561600008368,
rota,RotA-0223,RotA-0223:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.17287544999999227,
rota,RotA-0223,RotA-0223:local:4,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.1760422239995023,
rota,RotA-0224,RotA-0224:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.42642174799948407,
rota,RotA-0224,RotA-0224:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.6658418970000639,
rota,RotA-0224,RotA-0224:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.42651738499989733,
rota,RotA-0224,RotA-0224:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.2692040010006167,
rota,RotA-0224,RotA-0224:local:4,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.2793516530000488,
rota,RotA-0224,RotA-0224:local:5,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.26924133600005007,
rota,RotA-0224,RotA-0224:local:6,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.2816837160007708,
rota,RotA-0225,RotA-0225:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.7282327479997548,
rota,RotA-0225,RotA-0225:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.8965286940001533,
rota,RotA-0225,RotA-0225:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.728742914000577,
rota,RotA-0226,RotA-0226:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.14646418600023026,
rota,RotA-0226,RotA-0226:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.0810866720003105,
rota,RotA-0226,RotA-0226:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.08112574000006134,
rota,RotA-0227,RotA-0227:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.08433004299968161,
rota,RotA-0227,RotA-0227:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.11196657500022411,
rota,RotA-0227,RotA-0227:local:2,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.07037023100019724,
rota,RotA-0228,RotA-0228:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.08348552799998288,
rota,RotA-0228,RotA-0228:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.1194466540000576,
rota,RotA-0228,RotA-0228:local:2,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.06896914899971307,
rota,RotA-0229,RotA-0229:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.14368045599985635,
rota,RotA-0229,RotA-0229:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.122182549000172,
rota,RotA-0229,RotA-0229:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.21050873800049885,
rota,RotA-0229,RotA-0229:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.12300068300010025,
rota,RotA-0229,RotA-0229:local:4,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.1311804970000594,
rota,RotA-0230,RotA-0230:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.13103002100069716,
rota,RotA-0230,RotA-0230:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.13255781499992736,
rota,RotA-0230,RotA-0230:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.21934970900019835,
rota,RotA-0230,RotA-0230:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.13257136499942135,
rota,RotA-0230,RotA-0230:local:4,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.1440089710004031,
rota,RotA-0231,RotA-0231:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.8624508339999011,
rota,RotA-0231,RotA-0231:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,1.096840997000072,
rota,RotA-0231,RotA-0231:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.8596475549993556,
rota,RotA-0232,RotA-0232:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.14116829900012817,
rota,RotA-0232,RotA-0232:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.08991379199960647,
rota,RotA-0232,RotA-0232:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.08933531899947411,
rota,RotA-0233,RotA-0233:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.12481222600035835,
rota,RotA-0233,RotA-0233:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.16516265899917926,
rota,RotA-0233,RotA-0233:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.11201629000061075,
rota,RotA-0234,RotA-0234:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.0811173369993412,
rota,RotA-0234,RotA-0234:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.1356729119997908,
rota,RotA-0234,RotA-0234:local:2,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.09014919499986718,
rota,RotA-0235,RotA-0235:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.19198101900019537,
rota,RotA-0235,RotA-0235:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.3581231510006546,
rota,RotA-0235,RotA-0235:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.24443544299992936,
rota,RotA-0235,RotA-0235:local:3,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.20642218200009665,
rota,RotA-0235,RotA-0235:local:4,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.23447254900020198,
rota,RotA-0236,RotA-0236:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.15346250600032363,
rota,RotA-0236,RotA-0236:local:1,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.09605463999923813,
rota,RotA-0236,RotA-0236:local:2,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.10769551399971533,
rota,RotA-0237,RotA-0237:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.9469777710000926,
rota,RotA-0237,RotA-0237:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.9870440750000853,
rota,RotA-0237,RotA-0237:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.9400112040002568,
rota,RotA-0238,RotA-0238:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.0625808960003269,
rota,RotA-0239,RotA-0239:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.07155737100038095,
rota,RotA-0239,RotA-0239:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.07125825000002806,
rota,RotA-0239,RotA-0239:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.11344851899957575,
rota,RotA-0240,RotA-0240:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.07968157100003737,
rota,RotA-0240,RotA-0240:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.07952803999978642,
rota,RotA-0240,RotA-0240:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.14096192500073812,
rota,RotA-0241,RotA-0241:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.15003998399970442,
rota,RotA-0241,RotA-0241:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.07996081200053595,
rota,RotA-0241,RotA-0241:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.07968011899993144,
rota,RotA-0242,RotA-0242:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.4630713520000427,
rota,RotA-0242,RotA-0242:local:1,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.7386725950000255,
rota,RotA-0242,RotA-0242:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.4702259949999643,
rota,RotA-0243,RotA-0243:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.12553493399991567,
rota,RotA-0243,RotA-0243:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.08253302999946754,
rota,RotA-0243,RotA-0243:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.09295977400051925,
rota,RotA-0244,RotA-0244:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.13940979499966488,
rota,RotA-0244,RotA-0244:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.09218192100070155,
rota,RotA-0244,RotA-0244:local:2,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.0821017309999661,
rota,RotA-0245,RotA-0245:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.45874621999973897,
rota,RotA-0245,RotA-0245:local:1,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,0.4693078720001722,
rota,RotA-0245,RotA-0245:local:2,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.7379919929999232,
rota,RotA-0246,RotA-0246:local:0,atrop_bond,symmetry_related,8,8,8,2,4;4,1,true,false,true,true,1.1401111179993677,
