budget,enumeration_mode,source,record_id,carrier_composition,stereo_carriers,configuration_dependent_supports,full_raw_representation_product,joint_formal_assignments_expected,enumerated_assignments_expected,enumerated_assignments_completed,formal_assignment_tuples_covered,formal_assignment_tuples_invariant,observed_global_canonical_classes,formal_assignments_per_global_class,raw_assignments_per_global_class,representation_invariance_passed,timeouts,passed,seconds,issues
C,formal,acs,VS146,planar_bond:4;tetrahedral:2,6,0,2359296,64,64,64,64,64,64,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864;36864,true,0,true,2.1115171649998956,
C,formal,acs,VS245,planar_bond:1;tetrahedral:4,5,0,2654208,32,32,32,32,32,10,2;2;2;2;4;4;4;4;4;4,165888;165888;165888;165888;331776;331776;331776;331776;331776;331776,true,0,true,1.120133495999653,
C,formal,rota,RotA-0256,atrop_bond:1;tetrahedral:4,5,0,2654208,32,32,32,32,32,16,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,165888;165888;165888;165888;165888;165888;165888;165888;165888;165888;165888;165888;165888;165888;165888;165888,true,0,true,7.422676243999376,
C,formal,acs,VS191,planar_bond:6;tetrahedral:1,7,1,6291456,128,128,128,128,128,16,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,393216;393216;393216;393216;393216;393216;393216;393216;393216;393216;393216;393216;393216;393216;393216;393216,true,0,true,4.948727740999857,
C,formal,rota,RotA-0272,atrop_bond:7;tetrahedral:1,8,0,50331648,256,256,256,256,256,2,128;128,25165824;25165824,true,0,true,25.551980188000016,
C,formal,acs,VS259,planar_bond:1;tetrahedral:5,6,4,63700992,64,64,64,64,64,16,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312;3981312,true,0,true,2.8721586380006556,
C,formal,rota,RotA-0378,planar_bond:1;tetrahedral:5,6,0,63700992,64,64,64,64,64,64,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328;995328,true,0,true,2.7774640510006066,
C,formal,rota,RotA-0290,atrop_bond:2;tetrahedral:6,8,0,12230590464,256,256,256,256,256,36,4;4;4;4;4;4;4;4;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,191102976;191102976;191102976;191102976;191102976;191102976;191102976;191102976;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952;382205952,true,0,true,22.441553093999573,
C,formal,acs,VS126,planar_bond:4;tetrahedral:6,10,0,782757789696,1024,1024,1024,1024,1024,528,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;764411904;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808;1528823808,true,0,true,154.32161323900073,
